,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
238,98,4,2,6,9203,0.1517779261371664,0.5151557384108646,0.4323876144391225
239,100,4,2,6,9203,0.149099906361591,0.5183546258122453,0.43208164939296534
240,22,4,2,7,9204,0.28246021284843004,0.4823266095368572,0.4357879770289462
241,24,4,2,7,9204,0.27495341044002874,0.4826855897709992,0.4344296612770639
242,26,4,2,7,9204,0.26903987554916553,0.48470029429913253,0.43416080362976595
243,28,4,2,7,9204,0.26279859616800755,0.48854308197464436,0.43298012813007697
244,30,4,2,7,9204,0.2567612810057255,0.4874847904121297,0.4323873248407229
245,32,4,2,7,9204,0.25038319545675286,0.4873369742959612,0.43181902911115544
246,34,4,2,7,9204,0.2470228419636914,0.48990855052281684,0.43126585450284005
247,36,4,2,7,9204,0.23970030313451937,0.4872051631662488,0.43091662225177507
248,38,4,2,7,9204,0.23740335974669516,0.49227754072479923,0.4317367024023428
249,40,4,2,7,9204,0.23218800728513764,0.4936569177304977,0.4312818862415942
250,42,4,2,7,9204,0.228671918978385,0.4942732776804556,0.43069859428604185
251,44,4,2,7,9204,0.223350542639252,0.49658278085756036,0.43132868732658564
252,46,4,2,7,9204,0.21983284500707165,0.4979045272811608,0.43004205545650703
253,48,4,2,7,9204,0.21475331279893373,0.4991524375687516,0.430461023281467
254,50,4,2,7,9204,0.2111373499892199,0.4998695313855859,0.4299677025205369
255,52,4,2,7,9204,0.20853650818167668,0.5028793206394417,0.43061579148801354
256,54,4,2,7,9204,0.20457327146825083,0.5004698903897785,0.43019430026910693
257,56,4,2,7,9204,0.20071430442079063,0.5040397097887125,0.43063518372007936
258,58,4,2,7,9204,0.19844068270185666,0.5102558424639291,0.4310921405578537
259,60,4,2,7,9204,0.19476277180928508,0.5047236832440463,0.43004026401983
260,62,4,2,7,9204,0.19109931247196224,0.5045038196540811,0.4290896922560503
261,64,4,2,7,9204,0.1854625196543599,0.5096322018649492,0.4298433586582718
262,66,4,2,7,9204,0.18037527093204456,0.5059438841315032,0.4296198831489716
263,68,4,2,7,9204,0.1781328719162831,0.510320963990508,0.43025701874467537
264,70,4,2,7,9204,0.17798564159478567,0.5118435354323521,0.4314572853728101
265,72,4,2,7,9204,0.17207037438424688,0.5153549878668374,0.43110410401885524
266,74,4,2,7,9204,0.17034726591082286,0.518933021457306,0.4303579096269618
267,76,4,2,7,9204,0.16864771618775437,0.5151571407375226,0.42987818563995295
268,78,4,2,7,9204,0.1626696302895294,0.5167280375518416,0.43019382967163966
269,80,4,2,7,9204,0.1624286010706412,0.5245277674424779,0.4301578298537805
270,82,4,2,7,9204,0.1592147422803985,0.5262978142614063,0.43121365797528144
271,84,4,2,7,9204,0.15551746691076085,0.5221943685308278,0.43065098021310805
272,86,4,2,7,9204,0.1528934533719328,0.5257461833746557,0.4306164063205098
273,88,4,2,7,9204,0.14999422386659533,0.5228899085276794,0.4305561907046298
274,90,4,2,7,9204,0.14856430661663197,0.5263995874581389,0.4313050112793675
275,92,4,2,7,9204,0.1457470760710853,0.5290864778142973,0.4318504897188486
276,94,4,2,7,9204,0.14210542546491028,0.5280400360245507,0.43188273250916737
277,96,4,2,7,9204,0.1413849286968568,0.5277684462477067,0.430467614133136
278,98,4,2,7,9204,0.13976737826303764,0.5342426429833054,0.4318109813345426
279,100,4,2,7,9204,0.13771924931013696,0.532907031455763,0.4316345584419527
280,22,4,2,8,9205,0.2739854783230414,0.4736384314245143,0.4346537620713876
281,24,4,2,8,9205,0.26761141276747474,0.474909140430491,0.43345162001391263
282,26,4,2,8,9205,0.2613307736865673,0.4735381853525145,0.43283050796941386
283,28,4,2,8,9205,0.2545610128979903,0.47625277974451674,0.43191890975849245
284,30,4,2,8,9205,0.2483647688210799,0.47679798210474744,0.4311057900614329
285,32,4,2,8,9205,0.24379244863728253,0.4783149770859403,0.43055198087000274
286,34,4,2,8,9205,0.23973182030003878,0.4777019675989345,0.4300265374999063
287,36,4,2,8,9205,0.2361427987160145,0.479847243866534,0.4296799645735785
288,38,4,2,8,9205,0.2325025990298993,0.4827260295388251,0.4303667266739827
289,40,4,2,8,9205,0.2272099643980324,0.483028955979526,0.4299677758886395
290,42,4,2,8,9205,0.22089423361278107,0.48233686556098904,0.4294673006326654
291,44,4,2,8,9205,0.21993133998384526,0.4805088661151324,0.42970393965339476
292,46,4,2,8,9205,0.21500647998644365,0.4816495244121768,0.428358412153881
293,48,4,2,8,9205,0.20949404890618856,0.48216308223822846,0.42876802599395053
294,50,4,2,8,9205,0.20420997660303217,0.48866266632175664,0.42865398137113236
295,52,4,2,8,9205,0.2022214284075969,0.48642760251277806,0.4286979401300228
296,54,4,2,8,9205,0.19877088392693695,0.4898066628528728,0.42849765358687025
297,56,4,2,8,9205,0.19476381583658686,0.493523718375456,0.4287856483137501
298,58,4,2,8,9205,0.1915666992333127,0.49311208519904626,0.42950797951425373
299,60,4,2,8,9205,0.18922035698672246,0.4911838973257748,0.42815272117138214
