,epochs,nModels,seed,train,valid,valid_avg
370,42,7,3825,0.2749678469821946,0.4692046142636949,0.4326185938964658
371,44,7,3825,0.2700481669613912,0.4698779614346338,0.431619805007981
372,46,7,3825,0.2646546598294665,0.4690761640353933,0.4311159498259956
373,48,7,3825,0.2633119416805271,0.4696871972624634,0.4309288265974989
374,50,7,3825,0.2578811740256865,0.4712493778806947,0.4305548238501767
375,52,7,3825,0.2523948409878492,0.4709326868592854,0.4305079229245265
376,54,7,3825,0.2480409152009909,0.4719287409835306,0.4300598947035232
377,56,7,3825,0.24548173929824804,0.4726400902502711,0.4309722013535483
378,58,7,3825,0.2435745721036834,0.4761013203759008,0.4302601958081533
379,60,7,3825,0.2387765016552277,0.4753731112559472,0.4294288727355216
380,62,7,3825,0.2336309702735776,0.4722789906845044,0.42898184410047147
381,64,7,3825,0.22768622333701966,0.4738890514017247,0.4284982287334687
382,66,7,3825,0.22687038288351175,0.4735614476374721,0.4290130152967128
383,68,7,3825,0.224286795101608,0.4748749644384979,0.4293096680884223
384,70,7,3825,0.22030495724608892,0.4760731805917825,0.428954718224706
385,72,7,3825,0.2163485261124457,0.4760957662337902,0.4283363068645176
386,74,7,3825,0.2129973843569321,0.4781943903063105,0.42880365012941307
